manufacturer,title,source_url,sha256,record_type
dellner-bubenzer,Storm Brakes (Rail & Wheel Brakes) | DELLNER BUBENZER | Braking System Design & Manufacturing,https://www.dellnerbubenzer.com/product-types/storm-brakes-rail-wheel-brakes,59ddd87ccc94e847aa0effc9d65c41d05600e377c63a783a7c1eb656db0d7266,discovered page; product classification pending
dellner-bubenzer,Thruster / BUEL® | DELLNER BUBENZER | World Leader in Braking System Design & Manufacturing,https://www.dellnerbubenzer.com/product-types/thruster-buel,db0c104d16c6e1b2e75f89fb905b04536e7856fb983da351d96e437c03ac6dcf,discovered page; product classification pending
dellner-bubenzer,Components & Accessories | DELLNER BUBENZER | World Leader in Braking System Design & Manufacturing,https://www.dellnerbubenzer.com/product-types/components-accessories,58768d7cf211678f51cb00f9b387e144b3136674a4ec6b11caa860b183e0930d,discovered page; product classification pending
dellner-bubenzer,WPT Disc Clutches & Brakes | DELLNER BUBENZER | Braking System Design & Manufacturing,https://www.dellnerbubenzer.com/product-types/wpt-disc-clutches-brakes,dfbe214b1fc8ccb5e7c85e60caf1c48f9f833651a79d8253d50db8fe7c55efb5,discovered page; product classification pending
dellner-bubenzer,Interchangeability | DELLNER BUBENZER | World Leader in Braking System Design & Manufacturing,https://www.dellnerbubenzer.com/products/interchangeability,22b8d94cc184a35c6c075b9d93ecbc546afa557cb0337f0803855cc61b359001,discovered page; product classification pending
dellner-bubenzer,Document Downloads | DELLNER BUBENZER | World Leader in Braking System Design & Manufacturing,https://www.dellnerbubenzer.com/products/document-downloads,a0f2bbe46502a9f7f97830e62544f50132df716d870a4f6a913530141f4c91df,discovered page; product classification pending
dellner-bubenzer,Braking System Design | DELLNER BUBENZER | World Leader in Braking System Design & Manufacturing,https://www.dellnerbubenzer.com/solutions/braking-system-design,20b56d6a4483207a34aac28c560e3a2a92524e48f55e8c9958745ca5adcee6a4,discovered page; product classification pending
dellner-bubenzer,Dellner Bubenzer Brakes Shenyang Ltd | Office Location | Braking System Design & Manufacturing,https://www.dellnerbubenzer.com/locations/dellner-bubenzer-brakes-shenyang-ltd,67278b93dc63b92f3fb80140717110a81f01a4ccb0ca53175333ba73208e28f5,discovered page; product classification pending
dellner-bubenzer,Dellner Bubenzer Brakes Shenyang Ltd | Office Location | Braking System Design & Manufacturing,https://www.dellnerbubenzer.com/locations/brakes-shenyang-ltd-shanghai-branch,b559f1057e89c068b94ab64693debe7cf5f83f7d97860f300a65a1890f1a9531,discovered page; product classification pending
dellner-bubenzer,Anti Sway Systems | Products | DELLNER BUBENZER,https://www.dellnerbubenzer.com/products/anti-sway-systems,7a851a556412186b3533fb6374dab75c94c6f8cb2de334f4634a99f47f94e842,discovered page; product classification pending
dellner-bubenzer,BAC  | Products | DELLNER BUBENZER,https://www.dellnerbubenzer.com/products/bac,6851ffc2fe486b26830dd7d010cbb89ceff5554cdf78cca34a2cdf9879c3c096,discovered page; product classification pending
dellner-bubenzer,BHB  | Products | DELLNER BUBENZER,https://www.dellnerbubenzer.com/products/bhb,e26599c39c4170bfedf64504c3143eb23493d8365b9a4a44cbcb505bb4c890bd,discovered page; product classification pending
dellner-bubenzer,BOSS® Brake Only Snag System  | Products | DELLNER BUBENZER,https://www.dellnerbubenzer.com/products/boss,d3d7e6a9200b3afe127498a2360ccd9082b366e307cfd9170d9d1ad2341aa6c2,discovered page; product classification pending
dellner-bubenzer,Brake Control Unit BCMS-X  | Products | DELLNER BUBENZER,https://www.dellnerbubenzer.com/products/brake-control-unit-bcms-x,f4d59e26de38062c68cfb2cd2017470c969a7bc33d157a775cce2e534baa3bb4,discovered page; product classification pending
